Date,Open,High,Low,Close,Volume
05/27/2022,"259.00","273.68","257.57","270.92","1,952,574"
05/26/2022,"239.14","258.29","237.31","255.05","2,265,507"
05/25/2022,"243.99","247.19","232.39","237.51","1,532,599"
05/24/2022,"243.28","249.90","237.42","243.15","2,202,486"
05/23/2022,"240.00","243.63","235.48","242.94","1,003,401"
05/20/2022,"241.66","243.12","228.10","236.44","1,120,089"
05/19/2022,"234.68","243.12","233.88","239.08","1,067,927"
05/18/2022,"237.12","244.90","234.09","235.98","1,109,210"
05/17/2022,"232.49","239.33","231.23","239.23","1,141,572"
05/16/2022,"226.08","233.96","223.67","226.32","974,612"
05/13/2022,"217.30","231.21","215.50","228.82","1,078,597"
05/12/2022,"212.05","218.00","204.51","213.45","1,387,872"
05/11/2022,"221.00","227.95","212.63","213.03","1,203,908"
05/10/2022,"227.18","229.50","213.50","221.43","1,907,520"
05/09/2022,"238.00","239.40","220.77","221.64","2,422,233"
05/06/2022,"235.50","242.91","228.00","242.41","2,321,092"
05/05/2022,"238.00","243.18","221.34","236.50","3,740,505"
05/04/2022,"210.90","215.47","204.30","215.47","2,090,062"
05/03/2022,"190.57","198.44","190.37","197.12","928,303"
05/02/2022,"191.93","194.35","185.15","191.42","1,020,772"
04/29/2022,"195.36","202.06","191.80","192.83","986,946"
04/28/2022,"194.19","196.29","187.78","195.26","943,384"
04/27/2022,"187.36","196.38","187.36","192.23","1,007,143"
04/26/2022,"197.04","198.50","187.63","187.76","1,012,965"
04/25/2022,"198.10","200.19","191.10","198.46","1,530,035"
04/22/2022,"207.52","210.70","200.37","200.64","877,283"
04/21/2022,"220.98","222.70","206.10","207.24","1,190,613"
04/20/2022,"221.67","222.21","215.58","217.19","774,203"
04/19/2022,"210.14","218.73","207.17","218.15","718,357"
04/18/2022,"210.85","213.44","208.44","209.67","565,919"
04/14/2022,"212.97","215.22","210.22","210.89","572,594"
04/13/2022,"206.77","212.70","206.02","212.50","517,406"
04/12/2022,"208.70","212.99","202.48","205.02","710,203"
04/11/2022,"207.34","209.15","201.46","206.00","1,054,048"
04/08/2022,"212.66","214.69","206.20","211.00","737,120"
04/07/2022,"212.00","215.00","205.82","211.85","847,400"
04/06/2022,"215.95","215.95","205.51","211.47","1,381,741"
04/05/2022,"226.99","228.26","217.08","217.30","1,136,114"
04/04/2022,"224.14","226.36","220.14","226.04","744,340"
04/01/2022,"224.00","228.38","222.38","224.92","864,520"
03/31/2022,"222.33","230.00","221.07","221.15","1,141,505"
03/30/2022,"220.88","226.60","219.42","223.15","934,316"
03/29/2022,"218.00","223.89","214.13","222.48","859,556"
03/28/2022,"217.41","218.97","210.33","214.34","832,779"
03/25/2022,"214.11","218.02","212.42","217.58","836,396"
03/24/2022,"208.00","214.68","206.48","214.15","753,083"
03/23/2022,"203.21","212.22","202.66","208.21","903,619"
03/22/2022,"198.98","206.35","197.91","205.60","990,800"
03/21/2022,"199.02","200.63","193.00","198.68","818,672"
03/18/2022,"196.65","199.07","194.65","198.24","1,347,143"
03/17/2022,"187.84","196.60","187.84","196.37","706,658"
03/16/2022,"185.87","193.98","185.76","191.25","890,771"
03/15/2022,"175.36","182.70","172.78","181.95","834,397"
03/14/2022,"184.87","186.17","175.26","176.29","973,250"
03/11/2022,"188.77","191.45","184.64","184.76","769,655"
03/10/2022,"184.62","189.31","183.51","188.37","785,646"
03/09/2022,"188.54","189.93","182.23","187.13","1,332,422"
03/08/2022,"171.53","184.62","170.01","180.74","1,463,530"
03/07/2022,"180.58","181.81","171.14","172.09","1,051,550"
03/04/2022,"182.99","184.76","174.72","179.07","1,315,726"
03/03/2022,"193.50","194.83","184.51","186.33","1,072,053"
03/02/2022,"189.15","192.11","183.77","191.12","840,596"
03/01/2022,"194.48","196.94","184.24","186.44","992,043"
02/28/2022,"192.60","200.88","190.53","195.89","1,583,845"
02/25/2022,"184.40","192.00","180.18","191.95","1,135,300"
02/24/2022,"172.26","184.96","169.93","184.20","1,979,914"
02/23/2022,"193.00","196.12","180.82","182.00","1,643,997"
02/22/2022,"189.10","199.63","188.60","191.85","1,635,670"
02/18/2022,"200.02","201.41","187.01","190.76","3,060,893"
02/17/2022,"218.49","221.00","194.83","197.02","6,180,580"
02/16/2022,"241.01","247.98","236.20","246.00","1,394,810"
02/15/2022,"232.12","242.87","232.12","241.39","1,042,917"
02/14/2022,"230.18","233.88","224.91","227.68","875,257"
02/11/2022,"233.47","239.09","228.61","230.89","1,009,844"
02/10/2022,"233.45","244.31","232.15","236.04","795,702"
02/09/2022,"231.08","237.82","231.08","236.43","972,357"
02/08/2022,"218.93","227.41","218.29","226.69","1,128,379"
02/07/2022,"217.46","223.88","217.22","219.78","780,136"
02/04/2022,"214.50","219.00","213.45","216.02","720,625"
02/03/2022,"218.00","220.99","214.58","215.06","654,376"
02/02/2022,"225.91","226.96","220.97","221.49","818,613"
02/01/2022,"227.56","229.41","219.85","225.20","916,700"
01/31/2022,"207.00","220.96","207.00","220.74","1,137,105"
