Date,Open,High,Low,Close,Volume
05/27/2022,"13.19","13.31","13.12","13.31","8,531,515"
05/26/2022,"13.06","13.24","13.04","13.10","10,078,990"
05/25/2022,"12.94","13.04","12.83","12.97","10,125,930"
05/24/2022,"12.89","12.98","12.69","12.96","10,182,630"
05/23/2022,"13.08","13.24","12.96","13.05","12,764,420"
05/20/2022,"13.08","13.12","12.68","12.93","16,514,100"
05/19/2022,"12.62","13.07","12.61","12.96","14,060,800"
05/18/2022,"13.21","13.21","12.67","12.73","12,942,100"
05/17/2022,"13.16","13.37","13.04","13.33","13,540,780"
05/16/2022,"12.71","13.01","12.70","12.94","11,587,770"
05/13/2022,"12.67","12.87","12.61","12.77","12,762,650"
05/12/2022,"12.50","12.66","12.42","12.57","13,227,620"
05/11/2022,"12.48","12.80","12.44","12.51","19,237,230"
05/10/2022,"12.73","12.78","12.40","12.56","15,696,520"
05/09/2022,"12.69","12.81","12.58","12.61","17,452,910"
05/06/2022,"12.63","12.92","12.49","12.81","16,675,449"
05/05/2022,"12.88","12.88","12.50","12.64","22,552,471"
05/04/2022,"12.67","13.18","12.37","13.12","28,923,711"
05/03/2022,"11.75","12.06","11.67","11.97","11,365,730"
05/02/2022,"11.86","11.95","11.52","11.70","12,552,390"
04/29/2022,"12.19","12.28","11.81","11.86","17,666,740"
04/28/2022,"12.03","12.20","11.80","12.14","14,580,120"
04/27/2022,"11.60","12.08","11.57","12.02","28,136,301"
04/26/2022,"11.62","11.71","11.49","11.61","20,103,949"
04/25/2022,"11.56","11.66","11.35","11.65","8,122,098"
04/22/2022,"11.89","11.89","11.57","11.58","4,744,135"
04/21/2022,"12.08","12.12","11.90","11.93","5,609,932"
04/20/2022,"11.84","12.06","11.80","12.01","6,940,858"
04/19/2022,"11.49","11.80","11.49","11.76","4,107,493"
04/18/2022,"11.62","11.72","11.51","11.53","3,211,285"
04/14/2022,"11.73","11.80","11.67","11.67","3,345,210"
04/13/2022,"11.69","11.74","11.60","11.70","4,212,039"
04/12/2022,"11.75","11.83","11.59","11.66","3,042,464"
04/11/2022,"11.76","11.87","11.71","11.73","4,770,093"
04/08/2022,"11.59","11.79","11.51","11.72","5,900,929"
04/07/2022,"11.48","11.59","11.36","11.53","6,043,507"
04/06/2022,"11.39","11.54","11.35","11.50","6,261,348"
04/05/2022,"11.49","11.62","11.43","11.48","4,940,768"
04/04/2022,"11.46","11.52","11.33","11.48","5,653,017"
04/01/2022,"11.45","11.54","11.34","11.54","7,980,931"
03/31/2022,"11.54","11.59","11.32","11.33","7,659,097"
03/30/2022,"11.57","11.58","11.46","11.53","4,792,807"
03/29/2022,"11.48","11.61","11.39","11.57","7,160,308"
03/28/2022,"11.34","11.37","11.18","11.35","8,092,881"
03/25/2022,"11.24","11.44","11.24","11.34","7,171,692"
03/24/2022,"11.22","11.30","11.15","11.28","4,076,319"
03/23/2022,"11.37","11.41","11.21","11.22","5,450,009"
03/22/2022,"11.53","11.62","11.41","11.45","7,917,077"
03/21/2022,"11.70","11.74","11.39","11.46","6,674,305"
03/18/2022,"11.64","11.69","11.43","11.67","15,477,630"
03/17/2022,"11.42","11.67","11.38","11.61","6,971,796"
03/16/2022,"11.29","11.51","11.21","11.46","7,814,919"
03/15/2022,"11.28","11.32","11.13","11.24","7,059,685"
03/14/2022,"11.05","11.54","11.02","11.29","11,006,680"
03/11/2022,"10.97","11.04","10.88","10.90","8,134,673"
03/10/2022,"10.92","11.04","10.74","10.90","8,637,230"
03/09/2022,"11.16","11.20","11.02","11.09","6,575,782"
03/08/2022,"10.83","11.24","10.66","10.94","14,020,990"
03/07/2022,"11.17","11.20","10.79","10.79","11,140,080"
03/04/2022,"11.20","11.31","11.10","11.29","5,951,220"
03/03/2022,"11.46","11.53","11.30","11.35","11,064,950"
03/02/2022,"11.26","11.48","11.24","11.42","6,906,751"
03/01/2022,"11.57","11.67","11.20","11.26","9,725,169"
02/28/2022,"11.54","11.70","11.47","11.63","10,479,100"
02/25/2022,"11.49","11.84","11.45","11.80","9,811,692"
02/24/2022,"11.41","11.54","11.20","11.48","12,309,270"
02/23/2022,"11.77","11.78","11.61","11.63","10,136,770"
02/22/2022,"11.82","11.84","11.59","11.70","10,171,330"
02/18/2022,"11.83","12.03","11.80","11.88","27,757,750"
02/17/2022,"11.75","11.89","11.75","11.79","9,923,882"
02/16/2022,"11.80","11.92","11.70","11.77","6,734,235"
02/15/2022,"11.72","11.89","11.72","11.81","7,336,631"
02/14/2022,"11.62","11.65","11.45","11.57","7,220,747"
02/11/2022,"11.63","11.75","11.53","11.59","8,685,265"
02/10/2022,"11.67","11.84","11.53","11.62","5,797,862"
02/09/2022,"11.72","11.81","11.70","11.78","6,808,186"
02/08/2022,"11.49","11.70","11.47","11.62","7,373,151"
02/07/2022,"11.62","11.64","11.47","11.49","8,625,744"
02/04/2022,"11.65","11.72","11.45","11.56","10,123,660"
02/03/2022,"12.02","12.07","11.72","11.76","9,829,609"
02/02/2022,"11.93","12.25","11.89","12.13","11,321,510"
02/01/2022,"12.02","12.24","12.01","12.20","8,633,146"
01/31/2022,"11.74","12.06","11.74","12.01","16,775,150"
01/28/2022,"11.71","11.95","11.60","11.94","9,031,555"
01/27/2022,"11.88","12.09","11.65","11.80","10,134,190"
01/26/2022,"11.88","12.00","11.66","11.76","6,507,191"
01/25/2022,"11.78","11.89","11.51","11.79","8,321,337"
01/24/2022,"11.80","11.97","11.67","11.92","10,267,250"
01/21/2022,"12.13","12.16","11.90","11.95","7,002,158"
01/20/2022,"12.45","12.47","12.11","12.13","5,708,125"
01/19/2022,"12.36","12.50","12.26","12.41","5,636,965"
01/18/2022,"12.35","12.38","12.16","12.28","6,154,971"
01/14/2022,"12.21","12.39","12.14","12.37","8,357,787"
01/13/2022,"12.17","12.28","12.17","12.28","5,973,279"
01/12/2022,"12.15","12.17","12.06","12.14","5,942,944"
01/11/2022,"12.11","12.16","12.08","12.11","4,875,662"
01/10/2022,"12.18","12.20","12.02","12.15","5,232,704"
01/07/2022,"11.99","12.19","11.93","12.12","4,692,307"
01/06/2022,"12.19","12.21","11.97","11.99","5,260,259"
01/05/2022,"12.16","12.33","12.09","12.09","6,762,914"
01/04/2022,"11.94","12.22","11.91","12.07","6,215,494"
01/03/2022,"12.02","12.04","11.80","11.88","3,966,360"
12/31/2021,"11.92","12.05","11.92","12.01","2,859,958"
12/30/2021,"12.00","12.06","11.92","11.96","2,423,725"
12/29/2021,"11.87","12.00","11.87","11.95","3,461,484"
12/28/2021,"11.85","11.89","11.82","11.86","3,256,467"
12/27/2021,"11.73","11.82","11.66","11.81","4,951,799"
12/23/2021,"11.62","11.74","11.62","11.66","7,257,244"
12/22/2021,"11.67","11.78","11.59","11.61","5,033,127"
12/21/2021,"11.71","11.82","11.65","11.74","5,832,057"
12/20/2021,"11.63","11.70","11.43","11.60","6,232,434"
12/17/2021,"12.07","12.09","11.77","11.79","12,987,480"
12/16/2021,"12.01","12.12","11.99","12.04","6,089,968"
12/15/2021,"11.99","12.02","11.74","11.95","5,963,636"
12/14/2021,"11.71","11.86","11.65","11.67","6,739,174"
12/13/2021,"11.56","11.71","11.55","11.67","7,286,966"
12/10/2021,"11.63","11.67","11.53","11.60","3,790,674"
12/09/2021,"11.57","11.63","11.48","11.56","12,195,780"
12/08/2021,"11.61","11.69","11.52","11.62","8,135,574"
12/07/2021,"11.64","11.70","11.57","11.59","6,184,632"
12/06/2021,"11.48","11.65","11.45","11.57","6,845,344"
12/03/2021,"11.39","11.57","11.25","11.31","9,020,247"
12/02/2021,"11.31","11.58","11.31","11.48","7,256,318"
12/01/2021,"11.53","11.68","11.25","11.26","10,479,430"
11/30/2021,"11.53","11.56","11.30","11.32","11,076,560"
11/29/2021,"11.69","11.71","11.57","11.58","7,863,375"
11/26/2021,"11.38","11.63","11.38","11.54","5,979,075"
11/24/2021,"11.70","11.73","11.64","11.66","4,158,412"
11/23/2021,"11.85","11.94","11.72","11.77","6,208,897"
11/22/2021,"11.93","12.03","11.92","11.96","5,709,394"
11/19/2021,"12.04","12.13","11.89","11.90","4,468,861"
11/18/2021,"12.14","12.21","11.93","12.02","5,062,037"
11/17/2021,"12.25","12.30","11.98","12.15","7,583,262"
11/16/2021,"12.37","12.49","12.28","12.31","6,968,304"
11/15/2021,"12.38","12.45","12.33","12.39","2,869,090"
11/12/2021,"12.36","12.45","12.33","12.38","4,238,316"
11/11/2021,"12.34","12.37","12.26","12.36","2,828,662"
11/10/2021,"12.38","12.46","12.27","12.34","5,592,618"
11/09/2021,"12.18","12.36","12.16","12.31","4,322,637"
11/08/2021,"12.09","12.21","12.01","12.20","4,669,054"
11/05/2021,"12.23","12.26","12.05","12.14","5,877,899"
11/04/2021,"12.30","12.38","12.13","12.16","4,626,412"
11/03/2021,"12.23","12.49","12.11","12.30","9,637,206"
11/02/2021,"12.00","12.15","11.92","12.08","8,774,433"
11/01/2021,"12.13","12.22","11.92","11.94","7,545,783"
10/29/2021,"12.15","12.19","12.02","12.07","10,782,560"
10/28/2021,"12.04","12.17","12.01","12.15","5,199,007"
10/27/2021,"12.09","12.13","11.95","12.03","6,697,704"
10/26/2021,"12.07","12.12","11.97","12.01","6,732,878"
10/25/2021,"12.17","12.22","12.06","12.08","4,412,566"
10/22/2021,"12.07","12.23","12.05","12.16","2,672,842"
10/21/2021,"12.05","12.08","11.92","12.03","4,371,081"
10/20/2021,"11.98","12.11","11.98","12.04","6,252,918"
10/19/2021,"11.95","12.03","11.87","12.02","3,292,464"
10/18/2021,"11.86","11.96","11.81","11.91","3,104,561"
10/15/2021,"11.97","12.10","11.87","11.95","5,247,891"
10/14/2021,"11.74","11.95","11.70","11.91","3,800,200"
10/13/2021,"11.69","11.70","11.51","11.67","3,600,033"
10/12/2021,"11.61","11.70","11.57","11.64","3,480,178"
10/11/2021,"11.72","11.82","11.61","11.62","2,538,976"
10/08/2021,"11.78","11.84","11.69","11.71","4,120,669"
10/07/2021,"11.81","11.95","11.78","11.84","3,293,089"
10/06/2021,"11.67","11.76","11.54","11.75","6,290,323"
10/05/2021,"11.69","11.85","11.60","11.80","4,304,174"
10/04/2021,"11.64","11.77","11.57","11.63","5,208,657"
10/01/2021,"11.71","11.79","11.49","11.69","5,347,096"
09/30/2021,"11.79","11.81","11.57","11.59","5,867,720"
09/29/2021,"11.72","11.81","11.71","11.73","2,644,264"
09/28/2021,"11.89","11.91","11.65","11.70","5,528,798"
09/27/2021,"11.76","11.94","11.72","11.87","4,333,355"
09/24/2021,"11.77","11.89","11.74","11.79","3,990,738"
09/23/2021,"11.74","11.92","11.74","11.82","3,455,787"
09/22/2021,"11.80","11.84","11.72","11.74","3,732,607"
09/21/2021,"11.83","11.86","11.68","11.69","4,961,872"
09/20/2021,"11.75","11.87","11.65","11.78","7,146,003"
09/17/2021,"12.16","12.25","11.83","11.85","9,889,574"
09/16/2021,"12.34","12.38","12.13","12.13","5,012,281"
09/15/2021,"12.35","12.43","12.29","12.40","6,096,317"
09/14/2021,"12.34","12.38","12.26","12.32","5,150,164"
09/13/2021,"12.40","12.41","12.24","12.30","4,902,428"
09/10/2021,"12.22","12.44","12.22","12.30","7,148,776"
09/09/2021,"12.34","12.38","12.12","12.13","7,558,677"
09/08/2021,"12.25","12.40","12.22","12.32","5,285,805"
09/07/2021,"12.30","12.43","12.21","12.22","5,529,091"
