Date,Open,High,Low,Close,Volume
05/27/2022,"100.14","102.40","99.38","102.26","104,348,398"
05/26/2022,"91.34","100.33","90.74","98.75","128,792,703"
05/25/2022,"90.43","93.89","89.52","92.65","111,771,102"
05/24/2022,"92.54","93.42","89.62","91.16","123,341,398"
05/23/2022,"91.66","95.19","90.92","95.07","128,773,000"
05/20/2022,"98.39","98.64","88.26","93.50","164,126,797"
05/19/2022,"96.69","100.69","95.09","96.67","141,506,203"
05/18/2022,"100.00","104.22","95.71","96.28","142,603,203"
05/17/2022,"97.88","103.20","97.54","102.47","164,227,203"
05/16/2022,"93.86","98.17","93.08","94.24","131,065,695"
05/13/2022,"88.30","96.57","88.22","95.12","138,068,094"
05/12/2022,"86.60","88.55","83.27","87.06","129,214,203"
05/11/2022,"87.84","93.46","86.53","87.92","136,137,906"
05/10/2022,"89.18","90.77","85.41","88.73","137,235,500"
05/09/2022,"92.87","93.74","85.38","86.36","144,523,703"
05/06/2022,"94.34","98.18","92.65","95.34","144,286,594"
05/05/2022,"97.65","97.84","92.17","93.87","153,129,797"
05/04/2022,"98.18","99.69","91.70","99.42","225,394,094"
05/03/2022,"89.85","92.21","89.01","91.13","126,381,797"
05/02/2022,"85.66","90.37","85.32","89.84","98,304,086"
04/29/2022,"88.05","91.79","85.38","85.52","82,647,695"
04/28/2022,"86.67","90.58","84.78","89.64","91,495,445"
04/27/2022,"84.25","87.90","84.02","84.91","83,125,047"
04/26/2022,"89.74","90.12","85.08","85.16","89,127,398"
04/25/2022,"89.86","91.37","88.61","90.69","93,481,039"
04/22/2022,"90.03","91.46","87.94","88.14","75,017,648"
04/21/2022,"95.16","96.23","89.24","89.85","76,680,641"
04/20/2022,"97.84","97.91","93.20","94.02","62,489,047"
04/19/2022,"93.39","97.07","92.84","96.93","77,069,508"
04/18/2022,"92.03","95.16","91.64","93.89","80,605,750"
04/14/2022,"98.37","98.39","92.92","93.06","73,354,367"
04/13/2022,"95.30","98.33","94.71","97.74","77,728,414"
04/12/2022,"98.78","99.59","94.60","95.10","89,246,445"
04/11/2022,"98.60","98.67","95.94","97.37","95,527,664"
04/08/2022,"102.51","102.99","100.42","101.00","92,746,656"
04/07/2022,"103.92","105.24","100.91","103.72","91,895,531"
04/06/2022,"104.45","105.74","101.71","103.67","105,256,602"
04/05/2022,"109.69","110.48","106.05","106.82","79,531,961"
04/04/2022,"109.97","110.94","107.03","110.53","90,220,031"
04/01/2022,"110.48","111.42","106.10","108.19","111,867,102"
03/31/2022,"116.31","116.38","109.02","109.34","147,004,797"
03/30/2022,"123.04","125.67","118.59","119.22","99,476,953"
03/29/2022,"122.28","123.71","119.59","123.23","94,143,031"
03/28/2022,"117.70","120.41","116.71","120.24","92,966,148"
03/25/2022,"119.92","121.40","117.25","119.67","95,852,383"
03/24/2022,"114.96","120.55","113.71","120.53","121,961,297"
03/23/2022,"114.29","117.55","112.21","113.92","90,579,148"
03/22/2022,"115.43","117.95","113.81","114.78","101,672,602"
03/21/2022,"113.73","117.57","112.54","115.92","101,905,906"
03/18/2022,"111.28","114.93","110.55","113.46","105,834,797"
03/17/2022,"112.14","114.27","109.71","111.69","103,201,695"
03/16/2022,"111.60","115.42","109.89","115.37","113,689,797"
03/15/2022,"102.66","109.69","101.79","109.33","112,425,508"
03/14/2022,"102.99","105.24","101.04","102.25","89,731,680"
03/11/2022,"108.13","108.19","104.08","104.29","87,584,430"
03/10/2022,"108.89","109.07","103.07","106.46","102,557,398"
03/09/2022,"108.41","111.71","106.85","111.05","102,310,305"
03/08/2022,"102.81","109.90","100.08","105.53","135,348,297"
03/07/2022,"108.53","109.53","102.82","102.95","92,599,969"
03/04/2022,"112.00","113.00","106.81","108.41","100,671,297"
03/03/2022,"118.13","118.26","111.05","111.98","123,916,703"
03/02/2022,"115.47","119.48","113.31","118.28","118,354,492"
03/01/2022,"122.33","122.43","112.80","113.83","126,552,203"
02/28/2022,"120.31","124.61","119.20","123.34","124,666,094"
02/25/2022,"117.16","121.23","116.04","121.06","127,821,000"
02/24/2022,"104.56","116.96","104.26","116.61","142,956,609"
02/23/2022,"117.40","118.65","109.04","109.76","120,299,398"
02/22/2022,"115.27","119.20","113.61","115.65","141,648,500"
02/18/2022,"113.90","115.64","109.89","113.83","114,321,203"
02/17/2022,"116.26","116.98","112.26","112.37","98,179,641"
02/16/2022,"119.05","119.54","114.22","117.69","119,109,602"
02/15/2022,"117.19","121.88","114.36","121.47","144,139,703"
02/14/2022,"115.51","118.37","113.46","114.27","135,146,406"
02/11/2022,"126.14","127.17","111.81","113.18","164,723,203"
02/10/2022,"128.84","131.76","124.61","125.77","108,939,906"
02/09/2022,"129.60","132.96","127.65","132.85","92,948,867"
02/08/2022,"122.38","128.71","122.05","128.23","84,902,750"
02/07/2022,"123.56","127.63","122.79","123.67","81,672,492"
02/04/2022,"120.34","124.96","118.58","123.60","86,212,008"
02/03/2022,"120.32","125.37","118.82","120.08","103,599,508"
