Date,Open,High,Low,Close,Volume
05/27/2022,"180.72","190.20","180.30","188.95","2,239,488"
05/26/2022,"167.50","181.00","165.96","178.78","2,104,813"
05/25/2022,"160.68","171.00","160.68","169.28","1,568,305"
05/24/2022,"167.22","168.70","159.61","162.51","1,840,551"
05/23/2022,"168.58","170.51","161.69","169.55","1,640,607"
05/20/2022,"169.00","171.55","160.77","168.25","2,503,758"
05/19/2022,"156.17","173.98","156.17","165.54","2,966,957"
05/18/2022,"155.01","166.15","154.20","156.17","2,077,250"
05/17/2022,"156.99","161.21","151.10","158.11","1,524,466"
05/16/2022,"154.20","159.92","150.45","151.03","1,795,009"
05/13/2022,"146.62","159.46","146.00","157.79","3,090,340"
05/12/2022,"133.15","147.51","128.67","140.94","3,932,083"
05/11/2022,"149.28","151.59","136.49","137.55","3,171,422"
05/10/2022,"156.79","161.98","144.32","151.65","2,777,145"
05/09/2022,"160.40","163.74","146.62","150.51","3,022,067"
05/06/2022,"179.64","179.86","164.72","165.89","2,543,237"
05/05/2022,"188.39","190.92","177.82","181.14","2,194,559"
05/04/2022,"175.48","192.90","174.28","191.94","3,644,689"
05/03/2022,"168.12","177.01","166.01","174.53","2,208,369"
05/02/2022,"159.37","168.76","158.18","168.33","1,927,318"
04/29/2022,"163.45","170.82","160.13","161.40","2,422,661"
04/28/2022,"170.39","172.48","156.42","164.47","3,332,616"
04/27/2022,"169.50","178.25","161.60","165.71","7,929,982"
04/26/2022,"154.68","158.76","151.23","153.83","3,597,062"
04/25/2022,"151.00","158.26","146.62","157.60","2,828,997"
04/22/2022,"156.91","161.47","150.52","153.63","3,877,630"
04/21/2022,"181.97","181.97","154.41","156.56","5,301,480"
04/20/2022,"197.27","197.85","176.72","178.53","2,797,607"
04/19/2022,"190.32","195.96","185.39","195.60","1,646,559"
04/18/2022,"190.00","192.73","187.06","190.03","1,507,122"
04/14/2022,"192.12","197.29","189.90","190.51","1,543,196"
04/13/2022,"187.47","193.75","184.51","193.23","1,480,273"
04/12/2022,"192.00","194.89","185.60","185.95","1,863,584"
04/11/2022,"191.00","194.32","185.24","187.88","2,683,392"
04/08/2022,"204.00","206.14","194.74","195.14","1,820,116"
04/07/2022,"203.76","215.47","201.29","206.95","2,977,257"
04/06/2022,"206.60","208.80","197.08","203.99","2,996,837"
04/05/2022,"216.00","220.99","209.66","211.23","3,024,139"
04/04/2022,"207.27","217.29","207.11","216.38","2,390,232"
04/01/2022,"201.03","208.70","201.02","205.89","2,047,186"
03/31/2022,"197.69","205.87","195.62","201.78","1,851,477"
03/30/2022,"201.73","203.85","195.58","196.65","1,671,810"
03/29/2022,"196.00","202.52","188.55","202.36","2,397,751"
03/28/2022,"191.17","201.34","189.65","195.52","2,055,000"
03/25/2022,"197.63","198.65","187.30","193.81","2,010,215"
03/24/2022,"191.24","197.86","189.33","197.84","1,983,495"
03/23/2022,"184.89","197.92","184.14","190.19","1,908,122"
03/22/2022,"185.45","195.79","184.31","189.25","2,333,261"
03/21/2022,"184.62","187.94","179.40","185.45","1,974,177"
03/18/2022,"179.27","185.32","178.25","184.52","3,194,407"
03/17/2022,"174.44","183.45","172.79","180.85","2,314,889"
03/16/2022,"166.23","177.86","164.70","177.21","3,147,913"
03/15/2022,"157.87","164.84","150.88","164.64","2,732,349"
03/14/2022,"169.00","171.88","155.01","157.64","3,058,631"
03/11/2022,"179.25","186.38","170.89","171.07","2,771,499"
03/10/2022,"178.94","180.40","169.20","178.72","3,117,797"
03/09/2022,"173.05","182.00","167.10","179.87","4,552,029"
03/08/2022,"160.00","182.65","158.95","175.99","6,829,983"
03/07/2022,"162.70","168.00","158.68","158.81","3,294,069"
03/04/2022,"159.82","164.25","152.95","158.15","2,512,550"
03/03/2022,"164.86","165.73","157.21","159.03","2,329,240"
03/02/2022,"169.88","169.88","159.53","163.89","3,473,325"
03/01/2022,"167.54","172.87","163.52","170.60","3,539,809"
02/28/2022,"157.40","167.95","157.40","166.70","5,368,896"
02/25/2022,"148.00","154.57","146.04","153.73","3,086,899"
02/24/2022,"119.00","147.93","118.57","147.35","5,034,801"
02/23/2022,"135.00","135.52","126.12","126.56","2,107,527"
02/22/2022,"137.19","139.90","131.30","133.03","2,587,922"
02/18/2022,"148.44","148.96","139.28","140.35","2,610,282"
02/17/2022,"151.23","154.77","147.83","148.37","1,675,660"
02/16/2022,"149.60","154.84","146.80","154.03","1,972,480"
02/15/2022,"147.61","154.89","147.57","154.29","3,053,181"
02/14/2022,"145.83","149.98","142.38","143.93","2,439,179"
02/11/2022,"154.07","156.84","143.78","145.69","3,384,260"
02/10/2022,"156.19","166.71","153.27","154.64","5,356,110"
02/09/2022,"178.52","183.15","154.60","161.89","24,860,619"
02/08/2022,"139.20","145.67","137.18","144.50","4,026,359"
02/07/2022,"140.52","146.74","139.47","140.77","3,609,362"
02/04/2022,"133.72","143.42","131.65","141.23","2,536,924"
02/03/2022,"134.00","139.02","130.07","132.91","2,912,453"
02/02/2022,"144.90","145.26","138.59","139.51","2,375,043"
02/01/2022,"141.19","143.35","136.62","142.67","2,605,202"
01/31/2022,"125.00","140.75","125.00","140.47","3,988,906"
01/28/2022,"120.32","124.28","113.97","123.86","3,074,556"
01/27/2022,"125.20","125.78","119.62","119.97","2,732,751"
01/26/2022,"126.67","130.67","119.80","121.75","4,013,902"
01/25/2022,"123.00","127.46","120.48","122.65","2,785,816"
01/24/2022,"119.77","128.31","113.40","128.10","5,219,285"
01/21/2022,"131.90","133.56","124.52","126.02","3,896,928"
01/20/2022,"137.97","143.09","134.30","134.69","2,711,195"
01/19/2022,"138.00","140.31","133.66","134.58","2,400,804"
01/18/2022,"139.77","142.36","135.70","135.92","2,679,105"
01/14/2022,"141.56","147.00","138.88","142.84","2,134,803"
01/13/2022,"156.64","157.36","143.20","143.49","2,765,387"
01/12/2022,"150.52","154.13","147.35","149.28","2,430,478"
01/11/2022,"145.92","151.29","145.25","148.51","3,007,568"
01/10/2022,"140.21","147.39","137.66","147.13","3,730,051"
01/07/2022,"152.11","154.95","144.17","145.13","3,562,956"
01/06/2022,"156.01","156.23","145.82","151.49","3,546,228"
01/05/2022,"174.56","174.85","156.76","157.20","4,059,029"
01/04/2022,"187.59","188.00","171.30","178.28","2,483,964"
01/03/2022,"185.23","187.58","180.70","184.45","1,490,885"
12/31/2021,"186.90","188.43","182.79","182.94","1,107,124"
12/30/2021,"185.75","189.52","183.10","186.41","1,204,823"
12/29/2021,"186.54","187.73","181.15","185.47","1,102,566"
12/28/2021,"190.47","190.83","184.67","186.79","1,193,390"
12/27/2021,"189.90","191.00","184.63","188.69","1,272,533"
12/23/2021,"190.49","191.29","186.59","188.17","1,250,547"
12/22/2021,"186.73","191.31","185.49","189.33","1,378,511"
12/21/2021,"181.83","189.53","180.00","189.00","2,088,385"
12/20/2021,"179.68","185.63","175.05","178.73","3,834,767"
12/17/2021,"185.65","192.30","178.69","189.11","4,416,662"
12/16/2021,"209.60","211.00","189.51","190.85","3,215,443"
12/15/2021,"203.31","204.97","192.83","204.04","2,771,478"
12/14/2021,"205.10","206.19","194.14","202.32","3,418,111"
12/13/2021,"215.63","220.35","208.48","213.52","2,446,832"
12/10/2021,"220.59","223.32","214.55","215.02","1,639,036"
12/09/2021,"225.61","229.01","215.80","216.35","1,512,180"
12/08/2021,"224.95","227.48","220.04","225.61","1,644,574"
12/07/2021,"224.40","230.05","220.50","222.56","1,970,221"
12/06/2021,"216.50","217.42","207.05","212.94","2,539,553"
12/03/2021,"242.26","243.39","215.79","217.10","3,208,715"
12/02/2021,"237.00","244.96","230.18","235.00","1,949,096"
12/01/2021,"253.39","255.09","234.62","236.86","2,059,013"
11/30/2021,"252.99","259.40","243.89","250.00","2,793,159"
11/29/2021,"253.63","257.70","250.05","256.71","1,513,371"
11/26/2021,"250.39","259.00","243.62","247.42","1,476,151"
11/24/2021,"251.88","255.92","242.87","255.10","1,541,961"
11/23/2021,"258.08","265.26","245.74","250.50","2,598,494"
11/22/2021,"269.16","282.46","260.58","261.12","3,029,416"
11/19/2021,"255.83","272.00","255.02","267.74","2,721,858"
11/18/2021,"258.32","259.75","249.02","254.48","1,539,809"
11/17/2021,"252.01","260.56","250.52","254.86","1,772,111"
11/16/2021,"245.37","253.60","239.55","251.59","2,242,801"
11/15/2021,"253.64","253.99","241.61","244.71","1,715,600"
11/12/2021,"251.50","254.70","248.19","251.62","1,600,571"
11/11/2021,"235.41","252.05","235.31","250.49","2,661,051"
11/10/2021,"228.73","237.83","227.60","231.48","1,422,232"
11/09/2021,"243.55","244.38","232.56","239.39","1,214,825"
11/08/2021,"241.16","246.54","239.00","241.62","1,242,713"
11/05/2021,"242.12","244.88","234.26","237.90","1,835,639"
11/04/2021,"236.69","243.12","232.67","242.60","2,162,603"
11/03/2021,"234.45","238.88","231.07","236.58","2,158,489"
11/02/2021,"238.05","239.03","228.53","237.61","2,762,926"
11/01/2021,"233.04","239.89","232.12","239.53","2,631,025"
10/29/2021,"225.00","237.00","225.00","231.63","4,171,341"
10/28/2021,"216.22","227.59","210.67","224.46","5,733,402"
10/27/2021,"205.50","225.40","204.04","216.22","15,168,360"
10/26/2021,"181.62","183.38","170.42","173.46","2,974,996"
10/25/2021,"178.68","181.24","176.92","179.43","1,367,541"
10/22/2021,"181.47","181.47","174.33","176.70","1,624,328"
10/21/2021,"179.47","184.78","177.96","179.80","2,393,691"
10/20/2021,"186.23","187.00","177.34","180.10","2,250,141"
10/19/2021,"181.00","190.87","180.10","187.06","2,834,433"
10/18/2021,"171.39","181.12","171.28","179.97","1,900,463"
10/15/2021,"174.59","175.96","171.09","172.92","2,037,801"
10/14/2021,"175.60","176.63","170.44","173.78","1,541,626"
10/13/2021,"171.93","175.91","169.82","173.21","2,119,885"
10/12/2021,"162.12","172.10","162.12","169.84","2,438,486"
10/11/2021,"154.75","165.46","154.75","161.26","2,146,138"
10/08/2021,"158.46","159.50","153.59","154.36","1,205,274"
10/07/2021,"156.17","162.73","156.00","157.23","1,966,338"
10/06/2021,"144.36","155.85","143.45","153.58","2,355,602"
10/05/2021,"146.00","149.73","144.90","147.41","1,411,211"
10/04/2021,"153.54","153.72","144.47","145.03","2,126,809"
10/01/2021,"152.02","155.96","150.56","155.36","1,612,539"
09/30/2021,"150.19","151.73","148.00","149.97","1,905,260"
09/29/2021,"152.33","153.10","146.72","148.40","1,866,598"
09/28/2021,"152.00","153.07","149.42","150.71","1,984,977"
09/27/2021,"151.81","156.88","148.47","155.06","1,565,239"
09/24/2021,"157.21","157.39","152.10","153.66","1,243,438"
09/23/2021,"158.99","160.12","157.00","158.32","1,151,061"
09/22/2021,"153.24","158.92","152.00","158.21","1,304,372"
09/21/2021,"154.91","155.80","150.30","154.29","1,949,185"
09/20/2021,"154.66","156.77","149.32","152.44","2,526,365"
09/17/2021,"155.43","161.67","153.97","160.89","3,596,097"
09/16/2021,"153.94","157.10","152.21","156.79","1,997,638"
09/15/2021,"156.87","157.67","152.11","155.53","2,400,817"
09/14/2021,"160.46","162.44","157.19","157.95","1,543,901"
09/13/2021,"158.99","161.01","154.17","160.09","1,952,613"
09/10/2021,"163.08","164.80","157.81","158.22","2,034,960"
09/09/2021,"163.45","164.40","160.18","161.36","2,043,134"
09/08/2021,"171.36","174.99","163.09","163.38","2,262,593"
09/07/2021,"171.50","172.72","166.64","168.73","1,917,239"
09/03/2021,"175.62","177.69","172.67","173.94","1,181,916"
09/02/2021,"177.65","180.31","175.51","176.89","1,104,494"
09/01/2021,"177.98","181.72","175.00","176.43","1,479,996"
08/31/2021,"178.13","178.62","169.60","173.73","2,046,153"
08/30/2021,"176.66","179.05","174.61","177.78","1,372,851"
08/27/2021,"172.78","177.50","171.66","174.99","1,043,056"
08/26/2021,"172.91","177.78","172.11","172.43","1,292,135"
08/25/2021,"172.93","174.65","170.34","172.91","763,832"
