Date,Open,High,Low,Close,Volume
05/27/2022,"79.10","82.24","79.00","82.15","3,295,215"
05/26/2022,"72.26","78.71","71.25","78.25","4,772,842"
05/25/2022,"70.37","74.47","69.67","71.59","5,597,316"
05/24/2022,"73.72","74.24","68.40","70.21","5,986,800"
05/23/2022,"77.87","78.00","72.66","76.07","4,663,175"
05/20/2022,"81.17","81.27","74.66","78.34","4,880,538"
05/19/2022,"78.39","82.36","76.00","79.24","7,341,900"
05/18/2022,"85.05","85.05","77.10","78.84","6,025,942"
05/17/2022,"89.19","91.12","84.18","88.06","4,480,036"
05/16/2022,"91.00","92.40","86.25","86.62","4,384,454"
05/13/2022,"90.00","94.58","88.54","92.08","5,783,197"
05/12/2022,"77.36","89.88","75.61","87.86","10,579,180"
05/11/2022,"83.73","86.49","77.04","77.81","8,269,441"
05/10/2022,"89.31","92.67","81.57","84.06","6,098,531"
05/09/2022,"85.08","88.97","82.41","86.40","8,281,549"
05/06/2022,"89.67","90.88","81.12","86.38","9,282,126"
05/05/2022,"94.26","95.30","88.88","90.93","15,386,160"
05/04/2022,"100.00","110.95","96.10","109.33","8,693,731"
05/03/2022,"96.74","103.47","95.09","100.53","5,615,439"
05/02/2022,"92.32","97.22","90.63","97.07","5,640,038"
04/29/2022,"97.00","102.26","92.86","93.19","7,090,319"
04/28/2022,"100.63","103.37","94.40","101.88","5,491,444"
04/27/2022,"98.99","102.25","95.77","97.55","4,283,818"
04/26/2022,"101.04","102.65","97.10","100.11","4,297,469"
04/25/2022,"96.85","103.20","96.59","102.06","3,976,352"
04/22/2022,"102.44","103.52","97.46","98.41","3,623,006"
04/21/2022,"109.99","109.99","100.32","101.79","4,071,818"
04/20/2022,"114.29","114.29","104.71","107.41","4,829,128"
04/19/2022,"110.22","118.74","109.23","115.29","4,065,133"
04/18/2022,"115.33","115.50","105.80","110.47","4,528,180"
04/14/2022,"115.83","117.24","112.74","115.79","3,780,224"
04/13/2022,"112.25","118.71","111.21","117.47","2,446,391"
04/12/2022,"120.18","122.46","111.76","112.95","3,013,823"
04/11/2022,"115.13","119.70","113.03","117.22","2,933,304"
04/08/2022,"120.18","120.78","114.57","116.58","3,666,782"
04/07/2022,"124.68","128.87","118.91","120.95","4,815,643"
04/06/2022,"128.18","128.23","121.39","125.47","3,524,702"
04/05/2022,"135.42","136.87","128.61","130.21","3,279,960"
04/04/2022,"128.58","138.88","126.14","136.17","3,783,120"
04/01/2022,"126.23","128.39","122.53","127.05","2,961,478"
03/31/2022,"134.14","134.91","124.23","124.28","3,805,932"
03/30/2022,"140.05","141.84","134.16","134.56","3,160,660"
03/29/2022,"138.99","144.94","137.86","142.92","3,084,723"
03/28/2022,"134.70","139.02","131.10","138.54","2,443,889"
03/25/2022,"141.43","141.46","129.75","132.32","3,404,377"
03/24/2022,"143.24","143.97","136.60","140.96","2,045,098"
03/23/2022,"145.00","149.21","141.44","142.47","2,502,876"
03/22/2022,"142.66","151.50","142.04","148.25","2,994,381"
03/21/2022,"146.42","148.29","139.44","142.27","2,894,447"
03/18/2022,"140.53","149.73","140.28","148.00","5,183,227"
03/17/2022,"132.24","141.89","131.02","141.68","2,586,203"
03/16/2022,"127.99","134.05","126.68","133.81","3,232,230"
03/15/2022,"119.00","125.63","117.40","124.98","3,233,315"
